[0.994388 -0.0911545 0.0536927 0.084691; 0.0905104 0.995793 0.0143088 0.051009; -0.054771 -0.00936905 0.998455 -0.0421027; 0 0 0 1]
[0.979016 -0.162236 0.123321 0.133027; 0.161199 0.986751 0.0184077 0.140597; -0.124674 0.00185736 0.992197 -0.0425314; 0 0 0 1]
[0.980469 -0.14193 0.136157 0.111518; 0.138636 0.98978 0.0334246 0.247541; -0.139509 -0.0138961 0.990124 -0.0327998; 0 0 0 1]
[0.979869 -0.135487 0.14664 0.105883; 0.129338 0.990303 0.0507287 0.347182; -0.152091 -0.0307418 0.987889 -0.0666212; 0 0 0 1]
[0.976921 -0.124648 0.173468 0.132735; 0.111061 0.990088 0.0859827 0.437676; -0.182466 -0.0647332 0.98108 -0.106334; 0 0 0 1]
[0.966672 -0.156857 0.202348 0.160209; 0.146924 0.987121 0.063308 0.337702; -0.209672 -0.0314688 0.977267 -0.0716562; 0 0 0 1]
[0.96768 -0.155158 0.198809 0.179046; 0.143339 0.987007 0.0726131 0.236694; -0.207493 -0.0417696 0.977346 -0.0587116; 0 0 0 1]
[0.955696 -0.165153 0.243664 0.208756; 0.138945 0.982856 0.121203 0.139437; -0.259503 -0.0819781 0.962258 -0.053389; 0 0 0 1]
[0.948299 -0.194114 0.251103 0.249335; 0.151764 0.972183 0.178404 0.0440767; -0.278748 -0.131073 0.951379 -0.0321319; 0 0 0 1]
[0.947301 -0.152019 0.281983 0.307221; 0.0992145 0.976177 0.192963 -0.0475773; -0.304599 -0.154818 0.939816 -0.0178167; 0 0 0 1]
[0.948596 -0.123512 0.291399 0.356391; 0.0563747 0.971924 0.228444 -0.134637; -0.311433 -0.200274 0.928925 0.00922864; 0 0 0 1]
[0.953164 -0.119257 0.277956 0.378155; 0.0545383 0.97169 0.229884 -0.234475; -0.297502 -0.203958 0.932682 0.0406473; 0 0 0 1]
[0.95329 -0.122775 0.275986 0.408145; 0.0673416 0.977058 0.202051 -0.328353; -0.29446 -0.174028 0.939686 0.0791894; 0 0 0 1]
[0.976775 -0.126616 0.172862 0.365333; 0.0922394 0.976629 0.194141 -0.232718; -0.193403 -0.173688 0.965625 0.0537248; 0 0 0 1]
[0.983547 -0.0874717 0.15807 0.340257; 0.0651314 0.987813 0.141369 -0.140475; -0.168508 -0.128749 0.977257 0.0171277; 0 0 0 1]
[0.989675 -0.0924772 0.10952 0.313661; 0.0764132 0.986807 0.142742 -0.0436331; -0.121275 -0.132901 0.983683 -0.027597; 0 0 0 1]
[0.981776 -0.183511 0.0494198 0.218904; 0.175128 0.974572 0.139796 -0.0184909; -0.0738167 -0.128595 0.988947 -0.0694354; 0 0 0 1]
[0.971615 -0.235514 -0.0223495 0.134582; 0.236299 0.961612 0.139525 -0.0662479; -0.0113681 -0.140847 0.989967 -0.0998037; 0 0 0 1]
[0.960192 -0.259644 -0.103051 0.0608074; 0.268898 0.959038 0.089121 -0.130746; 0.0756899 -0.113285 0.990676 -0.147642; 0 0 0 1]
[0.942515 -0.284871 -0.174692 -0.00214624; 0.297109 0.953643 0.0478809 -0.190927; 0.152954 -0.0970324 0.983459 -0.206562; 0 0 0 1]
[0.94862 -0.25943 -0.181159 -0.0550143; 0.266978 0.963532 0.018166 -0.266499; 0.16984 -0.0655995 0.983286 -0.251539; 0 0 0 1]
[0.937273 -0.245006 -0.247979 -0.1272; 0.245026 0.969012 -0.0312846 -0.335533; 0.247959 -0.0314405 0.968261 -0.307497; 0 0 0 1]
[0.923262 -0.239488 -0.300392 -0.188655; 0.241571 0.969895 -0.0307786 -0.400591; 0.29872 -0.0441505 0.95332 -0.361135; 0 0 0 1]
[0.923458 -0.22191 -0.313022 -0.248904; 0.216854 0.974852 -0.0513539 -0.456412; 0.316546 -0.0204582 0.948357 -0.424491; 0 0 0 1]
[0.954413 -0.195518 -0.225543 -0.158586; 0.196128 0.980375 -0.0199332 -0.415535; 0.225015 -0.025212 0.97403 -0.367606; 0 0 0 1]
[0.970651 -0.182249 -0.156918 -0.0646745; 0.185838 0.982544 0.00837902 -0.376075; 0.152653 -0.0372957 0.987576 -0.319423; 0 0 0 1]
[0.981158 -0.17185 -0.088308 0.0282868; 0.175683 0.983729 0.0375768 -0.335772; 0.0804144 -0.0523842 0.995384 -0.279313; 0 0 0 1]
[0.985638 -0.168592 -0.00977889 0.132339; 0.168874 0.983685 0.0620081 -0.29693; -0.000833891 -0.0627702 0.998028 -0.247345; 0 0 0 1]
[0.982425 -0.165014 0.0872554 0.244122; 0.157491 0.983674 0.0870724 -0.261822; -0.100198 -0.0718014 0.992373 -0.230361; 0 0 0 1]
[0.971024 -0.167427 0.170535 0.357463; 0.153736 0.983944 0.0906489 -0.238623; -0.182973 -0.0618061 0.981174 -0.231342; 0 0 0 1]
[0.955941 -0.160076 0.246077 0.45978; 0.135954 0.984342 0.112189 -0.211932; -0.260182 -0.073792 0.962736 -0.241794; 0 0 0 1]
[0.919491 -0.162897 0.357776 0.56604; 0.118345 0.982588 0.143232 -0.184475; -0.374877 -0.0893612 0.922758 -0.247981; 0 0 0 1]
[0.880011 -0.172154 0.442659 0.668266; 0.106057 0.979691 0.170172 -0.155647; -0.462964 -0.102807 0.880395 -0.272303; 0 0 0 1]
[0.845673 -0.153489 0.511156 0.760034; 0.0815178 0.983662 0.160509 -0.138842; -0.52744 -0.0940718 0.844368 -0.318231; 0 0 0 1]
[0.838739 -0.143667 0.525243 0.821228; 0.0748659 0.985833 0.150103 -0.230338; -0.539364 -0.0865761 0.837611 -0.30984; 0 0 0 1]
