[0.954915 -0.0253353 -0.295799 -0.0939155; 0.0107914 0.998657 -0.0506979 0.00192882; 0.296686 0.0452201 0.953906 0.00543044; 0 0 0 1]
[0.910862 0.0100401 -0.412592 -0.191499; -0.0322428 0.998381 -0.0468862 0.00331323; 0.411452 0.05601 0.909711 -0.0182654; 0 0 0 1]
[0.881565 0.00439475 -0.472045 -0.277159; -0.0320445 0.998209 -0.0505512 0.00306329; 0.470977 0.0596906 0.880126 -0.0713651; 0 0 0 1]
[0.701897 -0.0222089 -0.711933 -0.343543; -0.0227196 0.99831 -0.0535418 0.000647913; 0.711918 0.0537558 0.700206 -0.137081; 0 0 0 1]
[0.456606 -0.0508401 -0.888216 -0.35508; -0.0200591 0.997528 -0.0674087 0.00314771; 0.889444 0.0485962 0.454458 -0.181237; 0 0 0 1]
[0.171904 -0.0348337 -0.984497 -0.314744; -0.0568212 0.997364 -0.0452104 0.0186409; 0.983474 0.0637124 0.169473 -0.249591; 0 0 0 1]
[0.10538 -0.00509083 -0.99442 -0.21542; -0.0627876 0.997962 -0.0117626 0.00918388; 0.992449 0.063677 0.104847 -0.259242; 0 0 0 1]
[0.207053 -0.00392163 -0.978324 -0.3061; -0.120988 0.992219 -0.0295832 0.0504829; 0.970821 0.124491 0.204968 -0.235039; 0 0 0 1]
[0.385966 -0.0261108 -0.922146 -0.360165; -0.126011 0.988745 -0.0807386 0.0403818; 0.913868 0.147363 0.378331 -0.150041; 0 0 0 1]
[0.642675 -0.0117241 -0.766055 -0.318742; -0.123005 0.985341 -0.118274 0.0299174; 0.756203 0.170239 0.631808 -0.086526; 0 0 0 1]
[0.840967 -0.0210668 -0.540684 -0.253251; -0.0833894 0.982268 -0.167974 0.0123042; 0.534627 0.186348 0.824292 -0.0275518; 0 0 0 1]
[0.891117 -0.0448792 -0.451559 -0.17172; -0.0459641 0.981064 -0.188211 0.00505406; 0.451448 0.188473 0.87217 0.0331008; 0 0 0 1]
[0.938869 -0.0810945 -0.334604 -0.0800472; 0.0129307 0.979496 -0.201107 -0.0117029; 0.344046 0.184486 0.920655 0.0744969; 0 0 0 1]
[0.990489 -0.0764079 -0.114475 0.0176103; 0.0518658 0.977654 -0.203781 -0.00905824; 0.127484 0.195904 0.972306 0.0966638; 0 0 0 1]
[0.984787 -0.0619973 0.16236 0.116721; 0.0927251 0.977578 -0.189134 -0.024351; -0.146994 0.201311 0.968441 0.0876276; 0 0 0 1]
